rank,feasible,global_pareto,latency_ns,energy_nj,area_um2,power_w,accuracy,algo,seed,eval_index,phase,matrix_point_id,run_id,trial_dir,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
1,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,nsga2,43,11,gen_2,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed43,P1,512x512,7,128,2,1,1,2x2,2,80
2,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,random,42,13,random,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed42,P1,512x512,7,128,2,1,1,2x2,2,80
3,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.923828125,mobo,43,11,mobo,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed43,P1,512x512,7,128,2,1,1,2x2,2,80
4,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.919921875,nsga2,44,18,gen_3,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed44,P1,512x512,7,128,2,1,1,2x2,2,80
5,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9189453125,nsga2,42,16,gen_3,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed42,P1,512x512,7,128,2,1,1,2x2,2,80
6,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,nsga2,42,14,gen_2,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed42,P2,512x512,7,128,2,1,1,2x2,2,80
7,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,nsga2,43,7,gen_1,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed43,P2,512x512,7,128,2,1,1,2x2,2,80
8,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9169921875,mobo,42,13,mobo,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed42,P2,512x512,7,128,2,1,1,2x2,2,80
9,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9169921875,mobo,44,12,mobo,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed44,P1,512x512,7,128,2,1,1,2x2,2,80
10,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9150390625,random,43,19,random,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed43,P1,512x512,7,128,2,1,1,2x2,2,80
11,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9130859375,mobo,42,8,mobo,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed42,P1,512x512,7,128,2,1,1,2x2,2,80
12,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9130859375,mobo,43,12,mobo,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed43,P2,512x512,7,128,2,1,1,2x2,2,80
13,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,mobo,44,1,init,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed44,P2,512x512,7,128,2,1,1,2x2,2,80
14,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,nsga2,44,1,init,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed44,P2,512x512,7,128,2,1,1,2x2,2,80
15,True,True,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,random,44,1,random,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed44,P2,512x512,7,128,2,1,1,2x2,2,80
16,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9326171875,random,44,17,random,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/random_seed44,P1,512x512,7,128,2,0,1,2x2,2,80
17,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.931640625,nsga2,43,10,gen_1,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed43,P2,512x512,7,128,2,0,1,2x2,2,80
18,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.921875,mobo,44,7,mobo,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed44,P1,512x512,7,128,2,0,1,2x2,2,80
19,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91796875,nsga2,44,20,gen_4,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/nsga2_seed44,P1,512x512,7,128,2,0,1,2x2,2,80
20,True,True,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,mobo,42,12,mobo,,rram_formal_v3_gpu1,/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_formal_v3_gpu1/mobo_seed42,P1,512x512,7,128,2,0,1,2x2,2,80
