algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,extra_json,trial_dir,run_id,feasible,global_pareto
mobo,43,23,mobo,3884383.145814948,3787740.2723677782,2427300237.7582936,432.8685861873989,0.90234375,82.71800017356873,True,P2,128x128,4,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.4704483115198244, 0.13843299117087118, 0.18927114448253265, 0.2018475528267717], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,rram_guidance_v4_gpu0,True,True
mobo,43,28,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,25.888025760650635,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.6330624316327905, 0.22969529295092997, 0.009991858969081516, 0.127250416447198], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,rram_guidance_v4_gpu0,True,True
mobo,43,39,mobo,3905028.5279078325,2314460.7570470907,1200737393.5429137,131.01629457350816,0.8818359375,40.18440079689026,True,P1,256x256,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.32532533542649245, 0.4888089822791522, 0.05907130455083586, 0.12679437774351943], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,rram_guidance_v4_gpu0,True,True
mobo,43,44,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,25.526674032211304,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.4947277550232444, 0.3004268143848417, 0.08859661859151002, 0.11624881200040388], ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/mobo_seed43,rram_guidance_v4_gpu0,True,True
nsga2,42,14,gen_2,3884383.145814948,3787740.2723677782,2427300237.7582936,432.8685861873989,0.9130859375,49.453922748565674,True,P1,128x128,4,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed42,rram_guidance_v4_gpu0,True,True
nsga2,42,36,gen_7,3884383.145814948,3787740.2723677782,2427300237.7582936,432.8685861873989,0.91015625,49.800909757614136,True,P2,128x128,4,128,2,1,1,2x2,2,80,"{""generation"": 7, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed42,rram_guidance_v4_gpu0,True,True
nsga2,42,43,gen_9,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9140625,15.212503433227539,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 9, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed42,rram_guidance_v4_gpu0,True,True
nsga2,43,41,gen_9,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9033203125,15.569232702255249,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 9, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed43,rram_guidance_v4_gpu0,True,True
nsga2,43,43,gen_9,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,15.202668190002441,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 9, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed43,rram_guidance_v4_gpu0,True,True
nsga2,44,10,gen_1,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9208984375,16.48498773574829,True,P2,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 1, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,rram_guidance_v4_gpu0,True,True
nsga2,44,16,gen_2,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,16.240960359573364,True,P1,512x512,7,128,2,1,1,2x2,2,80,"{""generation"": 2, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,rram_guidance_v4_gpu0,True,True
nsga2,44,33,gen_7,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91796875,15.75827431678772,True,P2,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 7, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,rram_guidance_v4_gpu0,True,True
nsga2,44,40,gen_8,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9189453125,16.064188957214355,True,P1,512x512,7,128,2,0,1,2x2,2,80,"{""generation"": 8, ""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/nsga2_seed44,rram_guidance_v4_gpu0,True,True
random,42,33,random,4177721.7279078932,1589700.9585995504,1201183185.7989137,68.2906487985458,0.884765625,27.890886306762695,True,P2,256x256,7,128,2,1,1,2x2,2,40,"{""accuracy_violation"": 0.0}",/Users/bytedance/workspace/MNSIM-2.0/artifacts/dse/search_runs/rram_guidance_v4_gpu0/random_seed42,rram_guidance_v4_gpu0,True,True
