RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,运行条件_精度仿真,运行条件_SAF,运行条件_器件变异,运行条件_Rratio,运行条件_固定量化范围,运行条件_精度约束,标签_延迟_ns,标签_能耗_nJ,标签_面积_um2,标签_功耗_W,标签_精度,元信息_运行ID,元信息_试验目录,元信息_算法,元信息_随机种子,元信息_评估序号,元信息_阶段,元信息_单次耗时_s,元信息_是否帕累托点,版本_网络,版本_数据集模块,版本_权重路径,版本_SimConfig路径,版本_设备,版本_签名
P2,512x512,6,64,1,1,2,2x2,1,40,1,1,1,0,0,0.88,5370465.03940621,3943527.8007849925,806405342.0955797,71.3122734378755,0.099609375,run_20260409_152526,random_seed42,random,42,1,random,242.80773305892944,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P0,128x128,6,128,1,1,4,4x4,2,40,1,1,1,0,0,0.88,14379162.483616222,8819197.425288975,3191013177.435408,1216.8754617024988,0.099609375,run_20260409_152526,random_seed42,random,42,2,random,588.7618069648743,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P0,512x512,7,128,1,1,4,8x8,0,80,1,1,1,0,0,0.88,10481166.528073765,1574917.2081730494,3535253138.9269333,47.273997348147226,0.099609375,run_20260409_152526,random_seed42,random,42,3,random,220.02764987945557,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P1,512x512,6,32,2,1,1,2x2,2,80,1,1,1,0,0,0.88,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.939453125,run_20260409_152526,random_seed42,random,42,4,random,201.82960891723633,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P3,256x256,8,64,2,1,4,4x4,2,10,1,1,1,0,0,0.88,8448704.031956494,660743.0108614445,1454303896.7855663,4.733286649333018,0.111328125,run_20260409_152526,random_seed42,random,42,5,random,307.431272983551,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P4,512x512,7,128,1,1,4,8x8,2,20,1,1,1,0,0,0.88,10533049.72807377,1566016.2360366941,3535253138.9269333,46.38206751566722,0.111328125,run_20260409_152526,random_seed42,random,42,6,random,219.1697371006012,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P2,512x512,4,32,1,0,2,4x4,1,80,1,1,1,0,0,0.88,16262945.769408964,9245404.061644342,870600717.7711326,81.28617585375183,0.099609375,run_20260409_152526,random_seed42,random,42,7,random,221.48492097854614,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P4,512x512,7,64,2,0,1,8x8,3,10,1,1,1,0,0,0.88,28154409.458937343,6674812.957325197,2062231154.1340282,44.2651282237103,0.109375,run_20260409_152526,random_seed42,random,42,8,random,194.71501517295837,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P1,128x128,4,128,2,0,1,4x4,3,40,1,1,1,0,0,0.88,15659093.533616526,10534362.375328988,2354953730.7135515,856.6961364296048,0.916015625,run_20260409_152526,random_seed42,random,42,9,random,780.5811359882355,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P3,128x128,6,128,1,1,2,8x8,0,10,1,1,1,0,0,0.88,48107582.663695194,22244869.760856073,2941409837.4369035,1055.1796055176794,0.111328125,run_20260409_152526,random_seed42,random,42,10,random,786.549455165863,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P1,128x128,4,32,2,0,1,2x2,2,80,1,1,1,0,0,0.88,4430024.989793121,17054874.0659343,2426702222.653233,838.9382624293112,0.9453125,run_20260409_152526,random_seed42,random,42,11,random,524.2151250839233,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P0,512x512,7,32,1,0,4,8x8,0,40,1,1,1,0,0,0.88,11592415.237310318,4006466.8011197746,3536081285.793072,45.989774080164025,0.099609375,run_20260409_152526,random_seed42,random,42,12,random,214.0082929134369,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P4,256x256,7,64,2,1,2,8x8,0,10,1,1,1,0,0,0.88,21235348.86265422,6690089.28849675,2153487841.8071036,72.55082217642226,0.248046875,run_20260409_152526,random_seed42,random,42,13,random,302.12668204307556,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P2,256x256,6,128,1,1,2,2x2,1,20,1,1,1,0,0,0.88,5587222.046760553,5218098.155018016,1077743399.0350747,263.0363228637917,0.099609375,run_20260409_152526,random_seed42,random,42,14,random,342.5762071609497,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P0,256x256,7,32,2,1,4,2x2,2,10,1,1,1,0,0,0.88,5955929.972894401,3243675.627901471,1193630738.4700177,58.85769479487148,0.94921875,run_20260409_152526,random_seed42,random,42,15,random,333.12558102607727,1,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P4,128x128,4,32,1,1,4,2x2,1,20,1,1,1,0,0,0.88,5700898.518007349,23974617.907421406,2033449917.148683,1174.4303115796279,0.111328125,run_20260409_152526,random_seed42,random,42,16,random,972.5000410079956,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P2,128x128,4,128,2,0,2,4x4,1,10,1,1,1,0,0,0.88,16849782.48361621,7636640.894944433,2288902306.5892005,818.669297407343,0.904296875,run_20260409_152526,random_seed42,random,42,17,random,497.911495923996,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P0,512x512,7,32,1,1,2,4x4,2,40,1,1,1,0,0,0.88,14731768.491284011,4505971.430273719,855527437.7711326,47.48895115675184,0.099609375,run_20260409_152526,random_seed42,random,42,18,random,233.88946413993835,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P4,128x128,7,32,1,1,2,4x4,2,10,1,1,1,0,0,0.88,17820734.5788269,12673612.970001156,1749162384.9066923,595.133848385849,0.111328125,run_20260409_152526,random_seed42,random,42,19,random,1654.4678840637207,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
P3,256x256,8,32,1,0,4,8x8,2,20,1,1,1,0,0,0.88,13671376.424230805,2403274.127258372,1728523444.6316493,10.832094861949823,0.099609375,run_20260409_152526,random_seed42,random,42,20,random,709.156495809555,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,9acc1b176e2b
